web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1724337360-1","https://www.klikindomaret.com/category/sarapan","Ovaltine Crunchy Chocolate Malt Drink 18x32g","50%
Rp 80.900","Rp 40.300"
"1724337360-2","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","47%
Rp 37.900","Rp 19.900"
"1724337360-3","https://www.klikindomaret.com/category/sarapan","L-Men Crunchy Chocolate Bar 25G","27%
Rp 11.200","Rp 8.200"
"1724337360-4","https://www.klikindomaret.com/category/sarapan","Diabetamil Sweetener 50G","26%
Rp 30.600","Rp 22.600"
"1724337360-5","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Stevia 50X2.6G","22%
Rp 78.500","Rp 61.500"
"1724337360-6","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Diet Jam Strawbery 375g","21%
Rp 94.900","Rp 75.000"
"1724337360-7","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal Merah 1.2Kg","20%
Rp 63.100","Rp 50.400"
"1724337360-8","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","20%
Rp 12.000","Rp 9.600"
"1724337360-9","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","20%
Rp 8.000","Rp 6.400"
"1724337360-10","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","20%
Rp 18.500","Rp 14.800"
"1724337360-11","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","20%
Rp 16.500","Rp 13.200"
"1724337360-12","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Gula Buah 50x2.5G","19%
Rp 53.500","Rp 43.500"
"1724337360-13","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","17%
Rp 53.700","Rp 44.500"
"1724337360-14","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Quick Cooking Biru 800G","17%
Rp 53.700","Rp 44.500"
"1724337360-15","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","15%
Rp 46.700","Rp 39.500"
"1724337360-16","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","15%
Rp 46.700","Rp 39.500"
"1724337360-17","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Caffe Latte Sugar Free Drink 10x14g","15%
Rp 34.500","Rp 29.200"
"1724337360-18","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","15%
Rp 23.500","Rp 19.900"
"1724337360-19","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","15%
Rp 29.300","Rp 24.900"
"1724337360-20","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","15%
Rp 29.300","Rp 24.900"
"1724337360-21","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","14%
Rp 34.900","Rp 29.900"
"1724337360-22","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Cheese 72G","10%
Rp 5.000","Rp 4.500"
"1724337360-23","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Choco","10%
Rp 5.000","Rp 4.500"
"1724337360-24","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Mocha","10%
Rp 5.000","Rp 4.500"
"1724337360-25","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener Low Calori 100X2.5g","7%
Rp 98.700","Rp 91.700"
"1724337360-26","https://www.klikindomaret.com/category/sarapan","Tropicana Slim No Calorie Sweetener Diabetic 100X2g","7%
Rp 101.500","Rp 94.500"
"1724337360-27","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","","Rp 7.000"
"1724337360-28","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","","Rp 7.000"
"1724337360-29","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Cocoa Chia 22G","","Rp 7.700"
"1724337360-30","https://www.klikindomaret.com/category/sarapan","7+ Cereal Bar Yoghurt Berry 22G","","Rp 7.700"
"1724337360-31","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","","Rp 15.500"
"1724337360-32","https://www.klikindomaret.com/category/sarapan","Arnon Roti Kasur 180G","","Rp 11.000"
"1724337360-33","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","","Rp 16.000"
"1724337360-34","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1724337360-35","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1724337360-36","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","","Rp 33.500"
"1724337360-37","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","","Rp 16.900"
"1724337360-38","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","","Rp 14.900"
"1724337360-39","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","","Rp 11.900"
"1724337360-40","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 200G","","Rp 31.500"
"1724337360-41","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.800"
"1724337360-42","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.800"
"1724337360-43","https://www.klikindomaret.com/category/sarapan","Champion Cereal Instant 4 In 1 10X30G","","Rp 25.400"
"1724337360-44","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","","Rp 42.300"
"1724337360-45","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","","Rp 11.900"
"1724337360-46","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","","Rp 23.000"
"1724337360-47","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X35g","","Rp 23.000"
